species,region,quantity,year,mean,lower,upper,region_type
LACI,Nebraska,delta_bar_t,2017,0.3285,-0.0681,0.8918,admin1
LACI,Nebraska,delta_bar_t,2018,-0.3969,-0.6511,-0.1039,admin1
LACI,Nebraska,delta_bar_t,2019,0.4760,-0.0877,1.4181,admin1
LACI,Nebraska,delta_avg_3year,NA,0.1359,-0.0513,0.4086,admin1
LACI,Nebraska,delta_tot_3year,NA,0.1167,-0.2542,0.6026,admin1
LACI,Michigan,psi_bar_t,2016,0.6343,0.5602,0.7030,admin1
LACI,Michigan,psi_bar_t,2017,0.6720,0.6149,0.7271,admin1
LACI,Michigan,psi_bar_t,2018,0.7277,0.6672,0.7877,admin1
LACI,Michigan,psi_bar_t,2019,0.6834,0.6191,0.7390,admin1
LACI,Michigan,delta_bar_t,2017,0.0629,-0.0802,0.2215,admin1
LACI,Michigan,delta_bar_t,2018,0.0849,-0.0369,0.2244,admin1
LACI,Michigan,delta_bar_t,2019,-0.0591,-0.1746,0.0571,admin1
LACI,Michigan,delta_avg_3year,NA,0.0295,-0.0150,0.0806,admin1
LACI,Michigan,delta_tot_3year,NA,0.0807,-0.0614,0.2442,admin1
LACI,Mississippi,psi_bar_t,2016,0.0626,0.0391,0.0925,admin1
LACI,Mississippi,psi_bar_t,2017,0.0441,0.0267,0.0718,admin1
LACI,Mississippi,psi_bar_t,2018,0.0705,0.0450,0.1080,admin1
LACI,Mississippi,psi_bar_t,2019,0.0697,0.0429,0.1068,admin1
LACI,Mississippi,delta_bar_t,2017,-0.2629,-0.6225,0.3719,admin1
LACI,Mississippi,delta_bar_t,2018,0.7007,-0.1838,2.0496,admin1
LACI,Mississippi,delta_bar_t,2019,0.0425,-0.4646,0.8972,admin1
LACI,Mississippi,delta_avg_3year,NA,0.1601,-0.0756,0.4862,admin1
LACI,Mississippi,delta_tot_3year,NA,0.1662,-0.4029,1.1055,admin1
LACI,North Dakota,psi_bar_t,2016,0.3944,0.1910,0.6156,admin1
LACI,North Dakota,psi_bar_t,2017,0.5923,0.4592,0.7291,admin1
LACI,North Dakota,psi_bar_t,2018,0.2416,0.1471,0.3577,admin1
LACI,North Dakota,psi_bar_t,2019,0.3463,0.1984,0.5110,admin1
LACI,North Dakota,delta_bar_t,2017,0.6715,-0.1193,2.0968,admin1
LACI,North Dakota,delta_bar_t,2018,-0.5863,-0.7617,-0.3388,admin1
LACI,North Dakota,delta_bar_t,2019,0.5098,-0.3024,1.7357,admin1
LACI,North Dakota,delta_avg_3year,NA,0.1983,-0.1784,0.7620,admin1
LACI,North Dakota,delta_tot_3year,NA,-0.0208,-0.5762,1.0085,admin1
LACI,Kentucky,psi_bar_t,2016,0.3952,0.3187,0.4806,admin1
LACI,Kentucky,psi_bar_t,2017,0.3867,0.3155,0.4858,admin1
LACI,Kentucky,psi_bar_t,2018,0.4964,0.4251,0.5706,admin1
LACI,Kentucky,psi_bar_t,2019,0.3741,0.2963,0.4610,admin1
LACI,Kentucky,delta_bar_t,2017,-0.0116,-0.2602,0.3032,admin1
LACI,Kentucky,delta_bar_t,2018,0.2972,-0.0110,0.6145,admin1
LACI,Kentucky,delta_bar_t,2019,-0.2415,-0.4336,-0.0184,admin1
LACI,Kentucky,delta_avg_3year,NA,0.0147,-0.0733,0.1112,admin1
LACI,Kentucky,delta_tot_3year,NA,-0.0436,-0.2935,0.2622,admin1
LACI,New Mexico,psi_bar_t,2016,0.6861,0.5968,0.7684,admin1
LACI,New Mexico,psi_bar_t,2017,0.7621,0.6781,0.8354,admin1
LACI,New Mexico,psi_bar_t,2018,0.7918,0.6980,0.8716,admin1
LACI,New Mexico,psi_bar_t,2019,0.8462,0.7814,0.9014,admin1
LACI,New Mexico,delta_bar_t,2017,0.1159,-0.0531,0.3137,admin1
LACI,New Mexico,delta_bar_t,2018,0.0421,-0.1130,0.2245,admin1
LACI,New Mexico,delta_bar_t,2019,0.0725,-0.0621,0.2322,admin1
LACI,New Mexico,delta_avg_3year,NA,0.0768,0.0288,0.1372,admin1
LACI,New Mexico,delta_tot_3year,NA,0.2389,0.0774,0.4459,admin1
LACI,South Dakota,psi_bar_t,2016,0.4472,0.2788,0.6189,admin1
LACI,South Dakota,psi_bar_t,2017,0.6879,0.5663,0.7962,admin1
LACI,South Dakota,psi_bar_t,2018,0.3076,0.2115,0.4239,admin1
LACI,South Dakota,psi_bar_t,2019,0.4179,0.2657,0.5776,admin1
LACI,South Dakota,delta_bar_t,2017,0.6085,0.0490,1.5675,admin1
LACI,South Dakota,delta_bar_t,2018,-0.5496,-0.7002,-0.3521,admin1
LACI,South Dakota,delta_bar_t,2019,0.4020,-0.2226,1.2206,admin1
LACI,South Dakota,delta_avg_3year,NA,0.1536,-0.1039,0.5025,admin1
LACI,South Dakota,delta_tot_3year,NA,-0.0217,-0.4556,0.6389,admin1
LACI,Maine,psi_bar_t,2016,0.4626,0.2968,0.6302,admin1
LACI,Maine,psi_bar_t,2017,0.5544,0.3983,0.6889,admin1
LACI,Maine,psi_bar_t,2018,0.5682,0.4145,0.7230,admin1
LACI,Maine,psi_bar_t,2019,0.2851,0.2209,0.3603,admin1
LACI,Maine,delta_bar_t,2017,0.2505,-0.2175,0.9919,admin1
LACI,Maine,delta_bar_t,2018,0.0456,-0.3250,0.5126,admin1
LACI,Maine,delta_bar_t,2019,-0.4871,-0.6508,-0.2515,admin1
LACI,Maine,delta_avg_3year,NA,-0.0637,-0.2107,0.1601,admin1
LACI,Maine,delta_tot_3year,NA,-0.3565,-0.5881,0.0049,admin1
LACI,California,psi_bar_t,2016,0.4612,0.3437,0.5934,admin1
LACI,California,psi_bar_t,2017,0.5855,0.4771,0.6925,admin1
LACI,California,psi_bar_t,2018,0.6085,0.5014,0.7094,admin1
LACI,California,psi_bar_t,2019,0.5564,0.4605,0.6743,admin1
LACI,California,delta_bar_t,2017,0.2959,-0.0782,0.8437,admin1
LACI,California,delta_bar_t,2018,0.0492,-0.1933,0.3496,admin1
LACI,California,delta_bar_t,2019,-0.0782,-0.2910,0.1938,admin1
LACI,California,delta_avg_3year,NA,0.0890,-0.0252,0.2387,admin1
LACI,California,delta_tot_3year,NA,0.2306,-0.1024,0.7015,admin1
LACI,Georgia,psi_bar_t,2016,0.0909,0.0661,0.1209,admin1
LACI,Georgia,psi_bar_t,2017,0.0948,0.0722,0.1255,admin1
LACI,Georgia,psi_bar_t,2018,0.1187,0.0889,0.1553,admin1
LACI,Georgia,psi_bar_t,2019,0.0854,0.0595,0.1224,admin1
LACI,Georgia,delta_bar_t,2017,0.0668,-0.3032,0.5677,admin1
LACI,Georgia,delta_bar_t,2018,0.2777,-0.1647,0.8621,admin1
LACI,Georgia,delta_bar_t,2019,-0.2655,-0.5383,0.1566,admin1
LACI,Georgia,delta_avg_3year,NA,0.0263,-0.1135,0.1931,admin1
LACI,Georgia,delta_tot_3year,NA,-0.0378,-0.4193,0.5373,admin1
LACI,Virginia,psi_bar_t,2016,0.3340,0.2640,0.4037,admin1
LACI,Virginia,psi_bar_t,2017,0.3687,0.3129,0.4418,admin1
LACI,Virginia,psi_bar_t,2018,0.4338,0.3705,0.4990,admin1
LACI,Virginia,psi_bar_t,2019,0.2910,0.2235,0.3813,admin1
LACI,Virginia,delta_bar_t,2017,0.1170,-0.1477,0.4429,admin1
LACI,Virginia,delta_bar_t,2018,0.1845,-0.0594,0.4619,admin1
LACI,Virginia,delta_bar_t,2019,-0.3246,-0.5053,-0.0817,admin1
LACI,Virginia,delta_avg_3year,NA,-0.0077,-0.1034,0.1104,admin1
LACI,Virginia,delta_tot_3year,NA,-0.1183,-0.3614,0.2471,admin1
LACI,Missouri,psi_bar_t,2016,0.3341,0.1839,0.5019,admin1
LACI,Missouri,psi_bar_t,2017,0.4382,0.3398,0.5393,admin1
LACI,Missouri,psi_bar_t,2018,0.4034,0.3126,0.4869,admin1
LACI,Missouri,psi_bar_t,2019,0.2465,0.1737,0.3440,admin1
LACI,Missouri,delta_bar_t,2017,0.4186,-0.2038,1.4123,admin1
LACI,Missouri,delta_bar_t,2018,-0.0657,-0.3450,0.2506,admin1
LACI,Missouri,delta_bar_t,2019,-0.3815,-0.5840,-0.0858,admin1
LACI,Missouri,delta_avg_3year,NA,-0.0095,-0.2225,0.3230,admin1
LACI,Missouri,delta_tot_3year,NA,-0.1996,-0.5846,0.4802,admin1
LACI,Pennsylvania,psi_bar_t,2016,0.5453,0.4120,0.6668,admin1
LACI,Pennsylvania,psi_bar_t,2017,0.6918,0.6075,0.7628,admin1
LACI,Pennsylvania,psi_bar_t,2018,0.7075,0.6040,0.7950,admin1
LACI,Pennsylvania,psi_bar_t,2019,0.3839,0.3026,0.4774,admin1
LACI,Pennsylvania,delta_bar_t,2017,0.2899,-0.0243,0.7078,admin1
LACI,Pennsylvania,delta_bar_t,2018,0.0261,-0.1516,0.2100,admin1
LACI,Pennsylvania,delta_bar_t,2019,-0.4547,-0.5797,-0.2960,admin1
LACI,Pennsylvania,delta_avg_3year,NA,-0.0463,-0.1486,0.0871,admin1
LACI,Pennsylvania,delta_tot_3year,NA,-0.2849,-0.4893,-0.0080,admin1
LACI,Illinois,psi_bar_t,2016,0.2333,0.1593,0.3240,admin1
LACI,Illinois,psi_bar_t,2017,0.1464,0.1030,0.2110,admin1
LACI,Illinois,psi_bar_t,2018,0.2676,0.2047,0.3420,admin1
LACI,Illinois,psi_bar_t,2019,0.3240,0.2240,0.4416,admin1
LACI,Illinois,delta_bar_t,2017,-0.3502,-0.6114,0.0842,admin1
LACI,Illinois,delta_bar_t,2018,0.8856,0.1735,1.8031,admin1
LACI,Illinois,delta_bar_t,2019,0.2319,-0.2169,0.8237,admin1
LACI,Illinois,delta_avg_3year,NA,0.2558,0.0525,0.4903,admin1
LACI,Illinois,delta_tot_3year,NA,0.4386,-0.1587,1.2915,admin1
LACI,Washington,psi_bar_t,2016,0.5036,0.4350,0.5751,admin1
LACI,Washington,psi_bar_t,2017,0.6194,0.5365,0.7047,admin1
LACI,Washington,psi_bar_t,2018,0.6760,0.5973,0.7514,admin1
LACI,Washington,psi_bar_t,2019,0.7215,0.6516,0.7890,admin1
LACI,Washington,delta_bar_t,2017,0.2363,0.0161,0.5061,admin1
LACI,Washington,delta_bar_t,2018,0.0970,-0.0843,0.2990,admin1
LACI,Washington,delta_bar_t,2019,0.0707,-0.0802,0.2407,admin1
LACI,Washington,delta_avg_3year,NA,0.1347,0.0684,0.2082,admin1
LACI,Washington,delta_tot_3year,NA,0.4401,0.2083,0.6961,admin1
LACI,Utah,psi_bar_t,2016,0.5250,0.4225,0.6263,admin1
LACI,Utah,psi_bar_t,2017,0.7030,0.5873,0.8181,admin1
LACI,Utah,psi_bar_t,2018,0.7742,0.6577,0.8741,admin1
LACI,Utah,psi_bar_t,2019,0.7868,0.6831,0.8811,admin1
LACI,Utah,delta_bar_t,2017,0.3519,0.0398,0.7280,admin1
LACI,Utah,delta_bar_t,2018,0.1103,-0.1212,0.3899,admin1
LACI,Utah,delta_bar_t,2019,0.0214,-0.1584,0.2346,admin1
LACI,Utah,delta_avg_3year,NA,0.1612,0.0703,0.2750,admin1
LACI,Utah,delta_tot_3year,NA,0.5134,0.1984,0.9121,admin1
LACI,Minnesota,psi_bar_t,2016,0.6105,0.4732,0.7595,admin1
LACI,Minnesota,psi_bar_t,2017,0.6737,0.6008,0.7463,admin1
LACI,Minnesota,psi_bar_t,2018,0.6085,0.5489,0.6656,admin1
LACI,Minnesota,psi_bar_t,2019,0.6169,0.5375,0.7067,admin1
LACI,Minnesota,delta_bar_t,2017,0.1253,-0.1434,0.4638,admin1
LACI,Minnesota,delta_bar_t,2018,-0.0936,-0.2178,0.0603,admin1
LACI,Minnesota,delta_bar_t,2019,0.0163,-0.1372,0.2040,admin1
LACI,Minnesota,delta_avg_3year,NA,0.0160,-0.0844,0.1264,admin1
LACI,Minnesota,delta_tot_3year,NA,0.0307,-0.2393,0.3594,admin1
LACI,Indiana,psi_bar_t,2016,0.2874,0.1789,0.4135,admin1
LACI,Indiana,psi_bar_t,2017,0.1946,0.1483,0.2716,admin1
LACI,Indiana,psi_bar_t,2018,0.3387,0.2485,0.4474,admin1
LACI,Indiana,psi_bar_t,2019,0.4027,0.2499,0.5450,admin1
LACI,Indiana,delta_bar_t,2017,-0.2928,-0.5770,0.2000,admin1
LACI,Indiana,delta_bar_t,2018,0.7830,0.0938,1.6461,admin1
LACI,Indiana,delta_bar_t,2019,0.2150,-0.2984,0.8030,admin1
LACI,Indiana,delta_avg_3year,NA,0.2351,0.0236,0.4507,admin1
LACI,Indiana,delta_tot_3year,NA,0.4636,-0.2084,1.4591,admin1
LACI,North Carolina,psi_bar_t,2016,0.2148,0.1746,0.2608,admin1
LACI,North Carolina,psi_bar_t,2017,0.2141,0.1789,0.2653,admin1
LACI,North Carolina,psi_bar_t,2018,0.2489,0.2042,0.3077,admin1
LACI,North Carolina,psi_bar_t,2019,0.1989,0.1539,0.2535,admin1
LACI,North Carolina,delta_bar_t,2017,0.0069,-0.2384,0.3174,admin1
LACI,North Carolina,delta_bar_t,2018,0.1739,-0.1187,0.5191,admin1
LACI,North Carolina,delta_bar_t,2019,-0.1913,-0.4294,0.1174,admin1
LACI,North Carolina,delta_avg_3year,NA,-0.0035,-0.0956,0.1059,admin1
LACI,North Carolina,delta_tot_3year,NA,-0.0640,-0.3347,0.2562,admin1
LACI,Oregon,psi_bar_t,2016,0.5897,0.5230,0.6516,admin1
LACI,Oregon,psi_bar_t,2017,0.6914,0.6204,0.7612,admin1
LACI,Oregon,psi_bar_t,2018,0.7422,0.6797,0.8021,admin1
LACI,Oregon,psi_bar_t,2019,0.7823,0.7239,0.8387,admin1
LACI,Oregon,delta_bar_t,2017,0.1761,0.0070,0.3749,admin1
LACI,Oregon,delta_bar_t,2018,0.0765,-0.0546,0.2252,admin1
LACI,Oregon,delta_bar_t,2019,0.0560,-0.0529,0.1765,admin1
LACI,Oregon,delta_avg_3year,NA,0.1029,0.0531,0.1570,admin1
LACI,Oregon,delta_tot_3year,NA,0.3308,0.1564,0.5216,admin1
LACI,South Carolina,psi_bar_t,2016,0.0907,0.0619,0.1287,admin1
LACI,South Carolina,psi_bar_t,2017,0.0754,0.0475,0.1181,admin1
LACI,South Carolina,psi_bar_t,2018,0.0993,0.0641,0.1534,admin1
LACI,South Carolina,psi_bar_t,2019,0.0946,0.0630,0.1374,admin1
LACI,South Carolina,delta_bar_t,2017,-0.1401,-0.5314,0.4770,admin1
LACI,South Carolina,delta_bar_t,2018,0.3907,-0.2877,1.4352,admin1
LACI,South Carolina,delta_bar_t,2019,0.0012,-0.4618,0.7135,admin1
LACI,South Carolina,delta_avg_3year,NA,0.0839,-0.0988,0.3241,admin1
LACI,South Carolina,delta_tot_3year,NA,0.0799,-0.3985,0.8064,admin1
LACI,New York,psi_bar_t,2016,0.6095,0.4595,0.7461,admin1
LACI,New York,psi_bar_t,2017,0.6884,0.5705,0.7914,admin1
LACI,New York,psi_bar_t,2018,0.7063,0.5873,0.8126,admin1
LACI,New York,psi_bar_t,2019,0.4386,0.3562,0.5235,admin1
LACI,New York,delta_bar_t,2017,0.1496,-0.1510,0.5651,admin1
LACI,New York,delta_bar_t,2018,0.0340,-0.1878,0.3212,admin1
LACI,New York,delta_bar_t,2019,-0.3746,-0.5255,-0.2033,admin1
LACI,New York,delta_avg_3year,NA,-0.0637,-0.1561,0.0598,admin1
LACI,New York,delta_tot_3year,NA,-0.2678,-0.4694,0.0082,admin1
LACI,Florida,psi_bar_t,2016,0.0297,0.0123,0.0610,admin1
LACI,Florida,psi_bar_t,2017,0.0340,0.0135,0.0761,admin1
LACI,Florida,psi_bar_t,2018,0.0274,0.0105,0.0745,admin1
LACI,Florida,psi_bar_t,2019,0.0249,0.0125,0.0446,admin1
LACI,Florida,delta_bar_t,2017,0.3385,-0.6503,2.5294,admin1
LACI,Florida,delta_bar_t,2018,-0.0318,-0.7659,1.9965,admin1
LACI,Florida,delta_bar_t,2019,0.1534,-0.7163,1.7492,admin1
LACI,Florida,delta_avg_3year,NA,0.1534,-0.2554,0.9224,admin1
LACI,Florida,delta_tot_3year,NA,-0.0079,-0.7088,1.3939,admin1
LACI,Vermont,psi_bar_t,2016,0.5836,0.2551,0.8454,admin1
LACI,Vermont,psi_bar_t,2017,0.7338,0.4948,0.8868,admin1
LACI,Vermont,psi_bar_t,2018,0.6572,0.4083,0.8502,admin1
LACI,Vermont,psi_bar_t,2019,0.3606,0.2393,0.4909,admin1
LACI,Vermont,delta_bar_t,2017,0.4032,-0.2776,1.8510,admin1
LACI,Vermont,delta_bar_t,2018,-0.0837,-0.4679,0.4044,admin1
LACI,Vermont,delta_bar_t,2019,-0.4307,-0.6641,-0.0287,admin1
LACI,Vermont,delta_avg_3year,NA,-0.0371,-0.2464,0.4392,admin1
LACI,Vermont,delta_tot_3year,NA,-0.3080,-0.6564,0.5038,admin1
LACI,Tennessee,psi_bar_t,2016,0.3115,0.2462,0.3889,admin1
LACI,Tennessee,psi_bar_t,2017,0.3379,0.2720,0.4216,admin1
LACI,Tennessee,psi_bar_t,2018,0.4281,0.3529,0.5061,admin1
LACI,Tennessee,psi_bar_t,2019,0.2830,0.2173,0.3624,admin1
LACI,Tennessee,delta_bar_t,2017,0.0989,-0.2031,0.4747,admin1
LACI,Tennessee,delta_bar_t,2018,0.2824,-0.0537,0.6653,admin1
LACI,Tennessee,delta_bar_t,2019,-0.3330,-0.5123,-0.0921,admin1
LACI,Tennessee,delta_avg_3year,NA,0.0161,-0.0853,0.1264,admin1
LACI,Tennessee,delta_tot_3year,NA,-0.0796,-0.3554,0.2669,admin1
LACI,Texas,psi_bar_t,2016,0.2369,0.1516,0.3356,admin1
LACI,Texas,psi_bar_t,2017,0.2221,0.1270,0.3375,admin1
LACI,Texas,psi_bar_t,2018,0.2289,0.0947,0.3901,admin1
LACI,Texas,psi_bar_t,2019,0.3304,0.2224,0.4470,admin1
LACI,Texas,delta_bar_t,2017,-0.0235,-0.5010,0.6733,admin1
LACI,Texas,delta_bar_t,2018,0.0927,-0.6286,1.2311,admin1
LACI,Texas,delta_bar_t,2019,0.6775,-0.2821,2.7500,admin1
LACI,Texas,delta_avg_3year,NA,0.2489,-0.0056,0.7570,admin1
LACI,Texas,delta_tot_3year,NA,0.4556,-0.1631,1.4116,admin1
LACI,Oklahoma,psi_bar_t,2016,0.2144,0.1320,0.3195,admin1
LACI,Oklahoma,psi_bar_t,2017,0.2535,0.1677,0.3628,admin1
LACI,Oklahoma,psi_bar_t,2018,0.2509,0.1414,0.4012,admin1
LACI,Oklahoma,psi_bar_t,2019,0.2611,0.1741,0.3730,admin1
LACI,Oklahoma,delta_bar_t,2017,0.2463,-0.3372,1.2386,admin1
LACI,Oklahoma,delta_bar_t,2018,0.0300,-0.4957,0.8159,admin1
LACI,Oklahoma,delta_bar_t,2019,0.1206,-0.4427,1.0500,admin1
LACI,Oklahoma,delta_avg_3year,NA,0.1323,-0.0922,0.4279,admin1
LACI,Oklahoma,delta_tot_3year,NA,0.2832,-0.3213,1.2555,admin1
LACI,Maryland,psi_bar_t,2016,0.2743,0.2039,0.3574,admin1
LACI,Maryland,psi_bar_t,2017,0.2848,0.2138,0.3823,admin1
LACI,Maryland,psi_bar_t,2018,0.3135,0.2329,0.4309,admin1
LACI,Maryland,psi_bar_t,2019,0.2504,0.1849,0.3265,admin1
LACI,Maryland,delta_bar_t,2017,0.0588,-0.2860,0.5605,admin1
LACI,Maryland,delta_bar_t,2018,0.1254,-0.2863,0.6828,admin1
LACI,Maryland,delta_bar_t,2019,-0.1795,-0.4985,0.2367,admin1
LACI,Maryland,delta_avg_3year,NA,0.0016,-0.1277,0.1494,admin1
LACI,Maryland,delta_tot_3year,NA,-0.0681,-0.3918,0.3658,admin1
LACI,West Virginia,psi_bar_t,2016,0.5738,0.4040,0.7362,admin1
LACI,West Virginia,psi_bar_t,2017,0.7924,0.6916,0.8755,admin1
LACI,West Virginia,psi_bar_t,2018,0.8199,0.7013,0.9098,admin1
LACI,West Virginia,psi_bar_t,2019,0.3954,0.2753,0.5654,admin1
LACI,West Virginia,delta_bar_t,2017,0.4156,0.0193,1.0036,admin1
LACI,West Virginia,delta_bar_t,2018,0.0387,-0.1402,0.2233,admin1
LACI,West Virginia,delta_bar_t,2019,-0.5153,-0.6733,-0.2950,admin1
LACI,West Virginia,delta_avg_3year,NA,-0.0204,-0.1570,0.1715,admin1
LACI,West Virginia,delta_tot_3year,NA,-0.2938,-0.5628,0.0871,admin1
LACI,Massachusetts,psi_bar_t,2016,0.5506,0.4099,0.6757,admin1
LACI,Massachusetts,psi_bar_t,2017,0.6274,0.5092,0.7338,admin1
LACI,Massachusetts,psi_bar_t,2018,0.6279,0.5080,0.7453,admin1
LACI,Massachusetts,psi_bar_t,2019,0.3937,0.3131,0.4883,admin1
LACI,Massachusetts,delta_bar_t,2017,0.1605,-0.1581,0.5895,admin1
LACI,Massachusetts,delta_bar_t,2018,0.0095,-0.2434,0.3163,admin1
LACI,Massachusetts,delta_bar_t,2019,-0.3668,-0.5306,-0.1524,admin1
LACI,Massachusetts,delta_avg_3year,NA,-0.0656,-0.1647,0.0635,admin1
LACI,Massachusetts,delta_tot_3year,NA,-0.2722,-0.4813,0.0187,admin1
LACI,New Hampshire,psi_bar_t,2016,0.5826,0.2770,0.8288,admin1
LACI,New Hampshire,psi_bar_t,2017,0.7266,0.4977,0.8763,admin1
LACI,New Hampshire,psi_bar_t,2018,0.6588,0.4250,0.8444,admin1
LACI,New Hampshire,psi_bar_t,2019,0.3638,0.2505,0.4902,admin1
LACI,New Hampshire,delta_bar_t,2017,0.3718,-0.2608,1.6837,admin1
LACI,New Hampshire,delta_bar_t,2018,-0.0739,-0.4294,0.4165,admin1
LACI,New Hampshire,delta_bar_t,2019,-0.4297,-0.6503,-0.0637,admin1
LACI,New Hampshire,delta_avg_3year,NA,-0.0440,-0.2403,0.3676,admin1
LACI,New Hampshire,delta_tot_3year,NA,-0.3110,-0.6354,0.4270,admin1
LACI,Connecticut,psi_bar_t,2016,0.5900,0.4435,0.7287,admin1
LACI,Connecticut,psi_bar_t,2017,0.6441,0.5043,0.7746,admin1
LACI,Connecticut,psi_bar_t,2018,0.7073,0.5820,0.8283,admin1
LACI,Connecticut,psi_bar_t,2019,0.4285,0.3192,0.5412,admin1
LACI,Connecticut,delta_bar_t,2017,0.1086,-0.2104,0.5146,admin1
LACI,Connecticut,delta_bar_t,2018,0.1114,-0.1419,0.4725,admin1
LACI,Connecticut,delta_bar_t,2019,-0.3887,-0.5728,-0.1604,admin1
LACI,Connecticut,delta_avg_3year,NA,-0.0562,-0.1527,0.0742,admin1
LACI,Connecticut,delta_tot_3year,NA,-0.2630,-0.4909,0.0460,admin1
LACI,Delaware,psi_bar_t,2016,0.2498,0.1386,0.4217,admin1
LACI,Delaware,psi_bar_t,2017,0.2894,0.1496,0.4784,admin1
LACI,Delaware,psi_bar_t,2018,0.2278,0.0874,0.4796,admin1
LACI,Delaware,psi_bar_t,2019,0.2110,0.1219,0.3171,admin1
LACI,Delaware,delta_bar_t,2017,0.2557,-0.4528,1.5660,admin1
LACI,Delaware,delta_bar_t,2018,-0.1411,-0.7400,1.1487,admin1
LACI,Delaware,delta_bar_t,2019,0.1419,-0.6371,1.6557,admin1
LACI,Delaware,delta_avg_3year,NA,0.0855,-0.2134,0.6060,admin1
LACI,Delaware,delta_tot_3year,NA,-0.0786,-0.5974,0.7784,admin1
LACI,New Jersey,psi_bar_t,2016,0.3833,0.2575,0.5088,admin1
LACI,New Jersey,psi_bar_t,2017,0.4389,0.3284,0.5685,admin1
LACI,New Jersey,psi_bar_t,2018,0.3827,0.2466,0.5705,admin1
LACI,New Jersey,psi_bar_t,2019,0.3087,0.2155,0.4111,admin1
LACI,New Jersey,delta_bar_t,2017,0.1797,-0.2554,0.8291,admin1
LACI,New Jersey,delta_bar_t,2018,-0.1097,-0.4905,0.4172,admin1
LACI,New Jersey,delta_bar_t,2019,-0.1559,-0.5324,0.3551,admin1
LACI,New Jersey,delta_avg_3year,NA,-0.0286,-0.1728,0.1878,admin1
LACI,New Jersey,delta_tot_3year,NA,-0.1695,-0.4918,0.2783,admin1
LACI,Rhode Island,psi_bar_t,2016,0.5554,0.4132,0.6955,admin1
LACI,Rhode Island,psi_bar_t,2017,0.5862,0.4329,0.7327,admin1
LACI,Rhode Island,psi_bar_t,2018,0.6788,0.5349,0.8176,admin1
LACI,Rhode Island,psi_bar_t,2019,0.4145,0.2971,0.5399,admin1
LACI,Rhode Island,delta_bar_t,2017,0.0744,-0.2817,0.5170,admin1
LACI,Rhode Island,delta_bar_t,2018,0.1788,-0.1499,0.6869,admin1
LACI,Rhode Island,delta_bar_t,2019,-0.3813,-0.5863,-0.1199,admin1
LACI,Rhode Island,delta_avg_3year,NA,-0.0427,-0.1526,0.0909,admin1
LACI,Rhode Island,delta_tot_3year,NA,-0.2412,-0.4959,0.1068,admin1
LACI,District of Columbia,psi_bar_t,2016,0.1891,0.1151,0.2807,admin1
LACI,District of Columbia,psi_bar_t,2017,0.1216,0.0683,0.2155,admin1
LACI,District of Columbia,psi_bar_t,2018,0.2166,0.1385,0.3225,admin1
LACI,District of Columbia,psi_bar_t,2019,0.2162,0.1274,0.3259,admin1
LACI,District of Columbia,delta_bar_t,2017,-0.3241,-0.6807,0.2379,admin1
LACI,District of Columbia,delta_bar_t,2018,0.9222,-0.1389,2.5264,admin1
LACI,District of Columbia,delta_bar_t,2019,0.0477,-0.4681,0.8366,admin1
LACI,District of Columbia,delta_avg_3year,NA,0.2153,-0.0407,0.5945,admin1
LACI,District of Columbia,delta_tot_3year,NA,0.1997,-0.3951,1.1130,admin1
LACI,Alaska,psi_bar_t,2016,0.2903,0.1843,0.4122,admin1
LACI,Alaska,psi_bar_t,2017,0.3718,0.2506,0.5132,admin1
LACI,Alaska,psi_bar_t,2018,0.3629,0.2525,0.4872,admin1
LACI,Alaska,psi_bar_t,2019,0.4235,0.2919,0.5698,admin1
LACI,Alaska,delta_bar_t,2017,0.3356,-0.2279,1.1963,admin1
LACI,Alaska,delta_bar_t,2018,0.0067,-0.4081,0.5947,admin1
LACI,Alaska,delta_bar_t,2019,0.2033,-0.2835,0.8624,admin1
LACI,Alaska,delta_avg_3year,NA,0.1819,-0.0275,0.4547,admin1
LACI,Alaska,delta_tot_3year,NA,0.5218,-0.1203,1.4788,admin1
LACI,Alberta,psi_bar_t,2016,0.4079,0.2908,0.5352,admin1
LACI,Alberta,psi_bar_t,2017,0.5708,0.4557,0.6859,admin1
LACI,Alberta,psi_bar_t,2018,0.3732,0.2662,0.4817,admin1
LACI,Alberta,psi_bar_t,2019,0.4419,0.3093,0.5844,admin1
LACI,Alberta,delta_bar_t,2017,0.4343,-0.0264,1.0678,admin1
LACI,Alberta,delta_bar_t,2018,-0.3391,-0.5436,-0.0802,admin1
LACI,Alberta,delta_bar_t,2019,0.2104,-0.2149,0.8119,admin1
LACI,Alberta,delta_avg_3year,NA,0.1019,-0.0752,0.3419,admin1
LACI,Alberta,delta_tot_3year,NA,0.1113,-0.2997,0.6633,admin1
LACI,British Columbia,psi_bar_t,2016,0.4193,0.3336,0.5176,admin1
LACI,British Columbia,psi_bar_t,2017,0.4701,0.3791,0.5696,admin1
LACI,British Columbia,psi_bar_t,2018,0.5059,0.4131,0.6053,admin1
LACI,British Columbia,psi_bar_t,2019,0.5689,0.4790,0.6758,admin1
LACI,British Columbia,delta_bar_t,2017,0.1354,-0.1665,0.4993,admin1
LACI,British Columbia,delta_bar_t,2018,0.0882,-0.1845,0.4389,admin1
LACI,British Columbia,delta_bar_t,2019,0.1353,-0.1295,0.4626,admin1
